id,subject,question,A,B,C,D,answer
high_school_geography_0,high_school_geography,The main factor preventing subsistence economies from advancing economically is the lack of,a currency.,a well-connected transportation infrastructure.,government activity.,a banking service.,B
high_school_geography_1,high_school_geography,The tendency for a population to continue to grow long after replacement fertility has been achieved is called,zero population growth.,rapid growth rate.,homeostatic plateau.,demographic momentum.,D
high_school_geography_2,high_school_geography,The tendency for migration to decrease with distance is called,push factors.,pull factors.,distance decay.,migration selectivity.,C
high_school_geography_3,high_school_geography,"Which zone contains low-income slums, ethnic ghettos, and general deterioration in Burgess's concentric zone model of urban form?",First,Second,Third,Fourth,A
high_school_geography_4,high_school_geography,Which of the following statements is TRUE concerning women in the labor force?,Most women work in agriculture,The percentage of women economically active in the labor force declined worldwide,The percentage of women in the total labor force declined,Women spend more hours per day working than men in all regions except Anglo America and Australia,D
high_school_geography_5,high_school_geography,All the following factors can be considered pull factors of migration EXCEPT,safety.,better climate.,better schools.,overcrowding.,D
high_school_geography_6,high_school_geography,Which of the following countries does NOT have a well-known example of a relict boundary?,Vietnam,United Kingdom,Germany,Bolivia,D
high_school_geography_7,high_school_geography,Which form of migration below are farm workers from another country most likely to be practicing during the year?,Chain migration,Cluster migration,Circular migration,International migration,C
high_school_geography_8,high_school_geography,Which of the following is a centrifugal force in a country?,Religious differences,A national holiday,An attack by another country,A charismatic national leader,A
high_school_geography_9,high_school_geography,Early settlements and high population density along coastlines and rivers are best attributed to which of the following?,Mediterranean climate,Limited forest cover,Growth of manufacturing,Access to trade routes,D
high_school_geography_10,high_school_geography,The first stage of the demographic transition exhibits,high birth rates with high but fluctuating death rates.,declining birth rates with continuing high death rates.,low birth rates with continuing high death rates.,high birth rates with declining death rates.,A
high_school_geography_11,high_school_geography,What is the population statistic that tells us the level of fertility at which a population will have just enough births to replace parents and compensate for early deaths?,Crude birth rate,Replacement level,Mortality rate,Total fertility rate,B
high_school_geography_12,high_school_geography,What is the most rapidly growing religion in the United States today?,Islam,Christianity,Hinduism,Buddhism,A
high_school_geography_13,high_school_geography,The outlying area serviced by a urban center is referred to as a,redline area.,threshold.,range.,hinterland.,D
high_school_geography_14,high_school_geography,The best definition of an urban area is,the central city and its developed areas.,the central city and its surrounding suburbs.,the central city and its hinterlands.,the central city and the adjacent counties.,B
high_school_geography_15,high_school_geography,Which of the following religions developed first?,Buddhism,Christianity,Islam,Hinduism,D
high_school_geography_16,high_school_geography,Which one of the following is NOT a characteristic of world cities?,World cities contain the headquarters of many transnational corporations.,World cities are well connected to secondary-level world cities.,World cities contain many offices of multinational organizations.,World cities are found only in the northern and western hemispheres.,D
high_school_geography_17,high_school_geography,Which type of transportation system created the star-shaped city pattern?,Highways to airports that link cities,Interstate highways that link cities,Beltways around cities,Streetcar and trolley lines extending from the CBD,D
high_school_geography_18,high_school_geography,In which urban US setting below would you expect to find planned communities?,Ghettos,Suburbs,CBDs,Transition zones,B
high_school_geography_19,high_school_geography,The latitude and longitude coordinates of a place are an example of,a formal region.,a functional region.,an absolute location.,a relative location.,C
